College,Major,Level
RE,DS25,JR
FI,DS25,SO
RE,DS25,SR
SI,DS25,JR
WA,DS25,FR
SI,DS25,SO
SI,DS25,FR
RE,DS25,SO
FI,DS25,JR
FI,EN26,JR
SI,DS25,JR
SI,DS25,FR
WA,DS25,FR
TH,DS25,FR
TH,DS25,SO
SI,DS25,SO
RE,CG35,JR
SI,DS25,SO
FI,DS25,FR
WA,DS25,SO
TH,DS25,SO
WA,DS25,FR
SI,DS25,FR
SI,DS25,SO
TH,DS25,SO
SI,DS25,FR
SI,DS25,FR
SI,DS25,FR
TH,DS25,JR
FI,DS25,JR
SI,DS25,FR
RE,DS25,SO
SI,DS25,JR
TH,DS25,FR
SI,DS25,JR
SI,PY34,JR
FI,MA27,SO
FI,DS25,SO
RE,DS25,SO
MU,CS26,SO
SI,DS25,SO
SI,DS25,JR
MU,DS25,SO
TH,DS25,FR
FI,DS25,FR
TH,CG27,SO
RE,DS25,SR
RE,MA27,JR
TH,DS25,FR
TH,DS25,FR
WA,DS25,SO
FI,DS25,SO
SI,DS25,FR
WA,DS25,JR
WA,DS25,FR
MU,DS25,SO
WA,DS25,FR
TH,DS25,JR
FI,DS25,SO
SI,DS25,SO
WA,DS25,FR
FI,DS25,JR
RE,DS25,FR
FI,DS25,JR
FI,DS25,JR
RE,DS25,SO
TH,DS25,FR
SI,CS26,SO
TH,DS25,SO
RE,BI34,SR
MU,DS25,SO
WA,DS25,SO
TH,DS25,SO
MU,DS25,SO
WA,DS25,SO
TH,DS25,JR
WA,DS25,FR
WA,DS25,SO
SI,DS25,SO
SI,MA30,JR
WA,DS25,SO
FI,DS25,JR
WA,DS25,SO
TH,DS25,SO
WA,DS25,JR
FI,DS25,FR
MU,DS25,FR
FI,DS25,JR
SI,DS25,SO
TH,DS25,JR
WA,DS25,JR
RE,DS25,JR
SI,DS25,JR
SI,DS25,SO
TH,DS25,SO
SI,DS25,SO
RE,BI29,SR
SI,DS25,FR
MU,DS25,JR
MU,DS25,FR
FI,DS25,FR
TH,DS25,FR
WA,DS25,SO
SI,EN25,JR
FI,DS25,JR
SI,DS25,JR
SI,DS25,FR
SI,DS25,JR
SI,DS25,FR
MU,DS25,JR
RE,DS25,JR
FI,EN26,SR
WA,DS25,SO
FI,DS25,FR
FI,DS25,JR
FI,DS25,SO
SI,DS25,FR
WA,DS25,SO
RE,DS25,FR
TH,DS25,SO
RE,DS25,JR
FI,BI36,SO
TH,DS25,SO
WA,DS25,SO
SI,MA27,JR
WA,DS25,FR
WA,DS25,SO
TH,DS25,FR
FI,MA33,JR
MU,DS25,SO
SI,DS25,FR
FI,DS25,SO
WA,DS25,SO
MU,DS25,SO
WA,DS25,SO
RE,DS25,JR
MU,DS25,FR
MU,EN28,SO
RE,DS25,FR
MU,DS25,SO
SI,DS25,SO
SI,DS25,JR
FI,DS25,FR
